Date;Profile;Message;Number of Likes;Number of comments;Number of Reactions, Comments & Shares;Impressions;Interactions per impression;Profile-ID;Post-ID;Link;
7/10/23 11:17 AM;Jair Messias Bolsonaro;-;4025.0;494.0;5486.0;;;211857482296579;211857482296579_905151790962243;https://www.facebook.com/522422702568489/posts/905151790962243;
7/9/23 9:26 PM;Jair Messias Bolsonaro;-;6803.0;1027.0;8546.0;;;211857482296579;211857482296579_904846490992773;https://www.facebook.com/522422702568489/posts/904846490992773;
7/9/23 2:38 PM;Jair Messias Bolsonaro; Depois de zerarmos os impostos federais da gasolina, Lula volta a cobrá-lo.- Lembro que reduzimos a carga tributária de milhares de produtos, e mesmo assim a arrecadação aumentava mês a mês.;3833.0;1086.0;5765.0;;;211857482296579;211857482296579_904709907673098;https://www.facebook.com/522422702568489/posts/904709907673098;
7/9/23 10:20 AM;Jair Messias Bolsonaro; Após mais de 20 anos, inaugurada ponte que conecta os estados de Rondônia e Acre durante a Gestão Jair Bolsonaro.- População não precisará usar balsas e trajeto poderá ser feito em menos de cinco minutos.- A Ponte do Abunã conecta o Acre ao sistema rodoviário brasileiro e permite o escoamento de produção das regiões Norte e Centro-Oeste, principalmente de soja. - A estrutura de concreto e aço tem 1.517 metros de extensão e recebeu investimentos de mais de R$ 160 milhões. Mais de 2 mil veículos cruzam a ponte todos os dias.- Além da redução do tempo na travessia, que podia chegar a até duas horas, considerando a espera, o fim do pagamento da taxa da balsa pelos caminhões de carga contribui para aumentar a competitividade dos produtos.;7841.0;1044.0;10945.0;;;211857482296579;211857482296579_904590581018364;https://www.facebook.com/522422702568489/posts/904590581018364;
7/8/23 8:13 PM;Jair Messias Bolsonaro;-;3165.0;881.0;4750.0;;;211857482296579;211857482296579_904249884385767;https://www.facebook.com/522422702568489/posts/904249884385767;
7/8/23 1:43 PM;Jair Messias Bolsonaro; 08/julho, sábado. - Dia de Megasena: 07, 17, 22 ...- Cruzeiro Velho/Brasília.- Pastel com caldo de cana.;21784.0;3221.0;30196.0;;;211857482296579;211857482296579_904105814400174;https://www.facebook.com/522422702568489/posts/904105814400174;
7/8/23 11:10 AM;Jair Messias Bolsonaro; Renovação da CNH.- Taguatinga/DF.- 08/julho/23.;19667.0;1840.0;25519.0;;;211857482296579;211857482296579_904026054408150;https://www.facebook.com/522422702568489/posts/904026054408150;
7/8/23 9:04 AM;Jair Messias Bolsonaro;Em mais uma rodada, Governo Jair Bolsonaro repassa R$ 722 milhões para estados e DF investirem em Segurança Pública..REPASSE HISTÓRICO-Nossa gestão já havia repassado R$ 1,5 bilhão para as unidades da federação investirem em segurança pública. Com esse novo montante, os recursos do Fundo Nacional de Segurança Pública, na modalidade fundo a fundo, chegam a mais de R$ 2,2 bilhões entregues em nossa gestão, o maior valor da história já repassado pelo Ministério às forças de segurança pública locais.UNIDADE FEDERATIVAAC: R$ 28.231.529,23AL: R$ 25.280.888,4AP: R$ 25.280.888,4AM: R$ 28.380.325,31BA: R$ 28.363.712,16CE: R$ 25.280.888,41DF: R$ 25.280.888,4ES: R$ 25.280.888,4GO: R$ 25.280.888,4MA: R$ 27.873.262,92MT: R$ 25.280.888,4MS: R$ 25.280.888,39MG: R$ 28.877.275,35PA: R$ 28.488.671,98PB: R$ 25.280.888,39PR: R$ 28.287.869,49PE: R$ 25.280.888,39PI: R$ 25.280.888,39RJ: R$ 28.960.341.12RN: R$ 25.280.888,39RS: R$ 28.695.975,26RO: R$ 27.928.158,57RR: R$ 25.280.888,39SC: R$ 27.867.484,43SP: R$ 31.143.165,26SE: R$ 25.280.888,39TO: R$ 25.280.888,39TOTAL GERAL: R$ 722.311.097.00;27524.0;2484.0;33574.0;;;211857482296579;211857482296579_903965331080889;https://www.facebook.com/522422702568489/posts/903965331080889;
7/7/23 5:24 PM;Jair Messias Bolsonaro;O Porto de Santos:. 2018 - prejuizo de R$ 468,72 milhõesMudança de Governo:. 2019 - lucro de R$ 87,3 milhões. 2020 - lucro de R$ 202,5 milhões. 2021 - lucro  R$ 329 milhões. 2022 - lucro R$ 547 milhões-Via Twitter: AmazoniaAzulBR;13008.0;1728.0;17475.0;;;211857482296579;211857482296579_903587611118661;https://www.facebook.com/522422702568489/posts/903587611118661;
7/6/23 10:12 AM;Jair Messias Bolsonaro;Não à Reforma Tributária do PT:-Lula se reúne com o Foro de SP (criado em 1990 por Fidel Castro, Lula, FARC, ...), diz ter orgulho de ser comunista, que na Venezuela impera a democracia, é amigo de Ortega que prende padres e expulsa freiras, seu partido fez ferrenha oposição a nós por 4 anos e comemorou a minha inelegibilidade.-O PT não defende os mais os mais pobres (na Câmara votaram contra o parcelamento dos precatórios, quase inviabilizando o Bolsa-Família passar para R$ 600,00).-Quando zeramos os impostos da gasolina, diesel, álcool e gás, o PT votou contra no Senado.-Não respeitam a propriedade privada, pois estimulam o MST a levar o terror ao campo.-Desarmam o cidadão de bem, mas não os criminosos.-Desrespeitam as famílias, pois apoiam a ideologia de gênero.-Eles apenas desejam o poder absoluto a qualquer preço, para atender à sua ideologia e dos amigos ditadores. -Lembro ainda que o PT deseja taxar o PIX, retornar com a cobrança do DPVAT e criar imposto sobre herança.-O texto final da PEC somente ficará pronto hoje, por volta das 18h. A pressa em votá-lo só nos traz mais preocupações com os já sofridos pagadores de impostos.-Afinal quem acredita num governo que escolheu seu ministério com perfil completamente diferente do nosso, gastador e sem compromisso com o futuro do seu povo?-Do exposto, a todos aqueles que se elegeram com nossa bandeira de "Deus, Pátria, Família e Liberdade", peço que votem contra a PEC da Reforma Tributária do lula..Jair Bolsonaro.;17219.0;3426.0;24676.0;;;211857482296579;211857482296579_902761164534639;https://www.facebook.com/522422702568489/posts/902761164534639;
7/5/23 11:28 AM;Jair Messias Bolsonaro; 🇧🇷 Parada básica, Brasília/Goiânia, 5 Jul 23.;31742.0;4427.0;44040.0;;;211857482296579;211857482296579_902201687923920;https://www.facebook.com/522422702568489/posts/902201687923920;
7/5/23 7:31 AM;Jair Messias Bolsonaro;A reforma da discórdia:-A PEC da Reforma Tributária cria também um "IPVA Ecológico", um acréscimo no caro IPVA que todos já pagam por seus veículos, que será progressivo de acordo com a emissão de carbono de cada modelo.-A partir da reforma, caso aprovada, também pagarão "IPVA Ecológico" as embarcações e aviões.-Temos hoje um governo sem limites para criar ou majorar impostos, como se a "Curva de Laffer" estivesse em "superados livros de economia".-Com tantas insanidades, a PEC merece um só destino: o arquivo da Câmara.-Jair Bolsonaro.;22676.0;2784.0;28887.0;;;211857482296579;211857482296579_902097134601042;https://www.facebook.com/522422702568489/posts/902097134601042;
7/4/23 7:49 AM;Jair Messias Bolsonaro;Reforma Tributária do PT: um verdadeiro soco no estômago dos mais pobres.-Em nosso governo diminuímos em 1/3 o IPI de mais de 4.000 produtos, zeramos os impostos federais dos combustíveis e também zeramos, via CAMEX, os impostos de pneus de caminhões, remédios contra câncer, HIV, peças de tratores, games, itens hospitalares, etc.-Mesmo com tais reduções, mês mês, batemos recorde na arrecadação e terminamos 2022 com superavit primário. -Também em 22 reduzimos o gasto público, tivemos uma inflação menor que os Estados Unidos e um crescimento maior que a China.-Além disso, o desemprego caiu e batemos recorde na geração de empregos (quase 100 milhões de brasileiros trabalhando). Por fim, ocorreu expressiva redução na taxa de pobreza que atingiu o menor patamar da série histórica.-A atual Reforma Tributária do PT vai na contramão do que fizemos. Caso tivesse um mínimo de coerência, o atual governo deveria manter a nossa política econômica que deu certo: menos impostos, mais arrecadação.-Nessa atual proposta o PT aumenta de forma absurda os impostos da cesta básica (arroz, açúcar, óleo, batata, feijão, farinha, etc.), cria um imposto seletivo para refrigerantes, produtos açucarados, carnes e bebidas alcoólicas, entre outros.-A PEC retira ainda a capacidade de investimento dos estados e subtrai recursos dos municípios. -Agregue-se a isso o fantasma da taxação do PIX e o imposto sobre herança, os quais somos radicalmente contra.-Do exposto o presidente do Partido Liberal e seu líder na Câmara dos Deputados encaminharão, junto aos seus 99 deputados, pela rejeição total da PEC da Reforma Tributária.. Jair Bolsonaro.;23765.0;3396.0;31822.0;;;211857482296579;211857482296579_901501804660575;https://www.facebook.com/522422702568489/posts/901501804660575;
7/3/23 10:04 AM;Jair Messias Bolsonaro; Siga-nos em nosso canal no YouTube: https://youtube.com/@jbolsonaro;9362.0;2331.0;14469.0;;;211857482296579;211857482296579_900974158046673;https://www.facebook.com/522422702568489/posts/900974158046673;
7/3/23 7:52 AM;Jair Messias Bolsonaro; Economia gerada por operações antifraude mais que dobrou em 2019.- Ações fizeram o Governo Federal economizar R$ 961 milhões no mesmo ano. 107,1% a mais que os R$ 464 milhões registrados em 2018.- O resultado foi alcançado por meio do aperfeiçoamento dos métodos de investigação, além da coordenação entre os órgãos da gestão pública.- Graças a tais ações há maior retorno para a sociedade, mesmo que com meios escassos, devido a corrupção generalizada de governos anteriores.;26018.0;2873.0;31230.0;;;211857482296579;211857482296579_900916974719058;https://www.facebook.com/522422702568489/posts/900916974719058;
7/2/23 10:57 AM;Jair Messias Bolsonaro; Caçada implacável.;5761.0;4344.0;13118.0;;;211857482296579;211857482296579_900379091439513;https://www.facebook.com/522422702568489/posts/900379091439513;
7/1/23 12:10 PM;Jair Messias Bolsonaro;-;15587.0;3045.0;25050.0;;;211857482296579;211857482296579_899811708162918;https://www.facebook.com/522422702568489/posts/899811708162918;
