Number of pairs,25409.000000
Number of unique pairs,2270
Average pair frequency,11.193392
Pair entropy,7.063166

Pair,Frequency,Proportion,Entropy Term,Mutual Information
pode agora,4.000000,0.000157,0.001378,1.632297
pode ser,38.000000,0.001496,0.009729,3.190441
pode acao,8.000000,0.000315,0.002539,2.869555
pode ter,7.000000,0.000275,0.002258,2.183024
pode apos,6.000000,0.000236,0.001972,1.687356
pode mandato,14.000000,0.000551,0.004134,3.246850
pode supremo,3.000000,0.000118,0.001068,1.759048
pode justica,3.000000,0.000118,0.001068,0.951126
pode disse,3.000000,0.000118,0.001068,1.656394
pode fazer,5.000000,0.000197,0.001679,2.479595
expresidente pode,4.000000,0.000157,0.001378,0.705349
expresidente bolsonaro,130.000000,0.005116,0.026990,1.552270
expresidente durante,5.000000,0.000197,0.001679,0.518137
expresidente deputado,5.000000,0.000197,0.001679,-0.019639
expresidente federal,12.000000,0.000472,0.003617,0.528352
expresidente eduardo,3.000000,0.000118,0.001068,-1.118568
expresidente comparou,7.000000,0.000275,0.002258,1.655831
expresidente traficantes,3.000000,0.000118,0.001068,-0.339559
expresidente fala,3.000000,0.000118,0.001068,0.313042
expresidente governador,5.000000,0.000197,0.001679,1.168318
expresidente sobre,4.000000,0.000157,0.001378,-0.140898
expresidente gestao,10.000000,0.000394,0.003086,2.391160
expresidente agora,3.000000,0.000118,0.001068,0.611823
expresidente professores,3.000000,0.000118,0.001068,-0.961248
expresidente sera,6.000000,0.000236,0.001972,1.438501
expresidente contra,4.000000,0.000157,0.001378,-0.196127
expresidente ser,3.000000,0.000118,0.001068,-0.081325
expresidente parlamentares,3.000000,0.000118,0.001068,1.322988
expresidente camara,6.000000,0.000236,0.001972,1.096215
expresidente lula,4.000000,0.000157,0.001378,-0.055320
expresidente pl,44.000000,0.001732,0.011011,2.649923
expresidente vai,3.000000,0.000118,0.001068,0.042054
expresidente afirmou,4.000000,0.000157,0.001378,1.053655
expresidente deve,6.000000,0.000236,0.001972,1.998117
expresidente ter,3.000000,0.000118,0.001068,0.602934
expresidente republica,15.000000,0.000590,0.004389,2.324639
expresidente jair,118.000000,0.004644,0.024949,3.411407
expresidente saude,4.000000,0.000157,0.001378,1.175352
expresidente pandemia,19.000000,0.000748,0.005383,2.234506
expresidente conselho,15.000000,0.000590,0.004389,2.396465
expresidente etica,6.000000,0.000236,0.001972,1.666760
expresidente reforma,8.000000,0.000315,0.002539,1.163656
expresidente dois,3.000000,0.000118,0.001068,1.418298
expresidente tributaria,4.000000,0.000157,0.001378,0.781722
expresidente depoimento,3.000000,0.000118,0.001068,1.379078
expresidente desde,4.000000,0.000157,0.001378,1.647712
expresidente r,3.000000,0.000118,0.001068,1.252784
bolsonaro pode,39.000000,0.001535,0.009945,1.081089
bolsonaro expresidente,21.000000,0.000826,0.005867,-0.270743
bolsonaro tudo,5.000000,0.000197,0.001679,-0.203515
bolsonaro durante,46.000000,0.001810,0.011431,0.835813
bolsonaro proarmas,15.000000,0.000590,0.004389,0.132957
bolsonaro deputado,27.000000,0.001063,0.007276,-0.234767
bolsonaro federal,18.000000,0.000708,0.005138,-0.967710
bolsonaro eduardo,43.000000,0.001692,0.010800,-0.357507
bolsonaro plsp,71.000000,0.002794,0.016431,2.249056
bolsonaro comparou,68.000000,0.002676,0.015852,2.027901
bolsonaro professor,20.000000,0.000787,0.005626,0.105558
bolsonaro doutrinador,6.000000,0.000236,0.001972,-0.805312
bolsonaro traficantes,63.000000,0.002479,0.014876,0.803436
bolsonaro fala,20.000000,0.000787,0.005626,0.308634
bolsonaro diz,24.000000,0.000945,0.006579,1.019599
bolsonaro ainda,6.000000,0.000236,0.001972,-0.854792
bolsonaro traficante,13.000000,0.000512,0.003877,0.330783
bolsonaro governador,8.000000,0.000315,0.002539,-0.263205
bolsonaro tarcisio,52.000000,0.002047,0.012671,0.924839
bolsonaro sobre,50.000000,0.001968,0.012261,0.483303
bolsonaro gestao,17.000000,0.000669,0.004891,1.020261
bolsonaro governo,12.000000,0.000472,0.003617,-0.757065
bolsonaro todo,3.000000,0.000118,0.001068,-0.990046
bolsonaro brasil,20.000000,0.000787,0.005626,-0.319533
bolsonaro tambem,11.000000,0.000433,0.003353,-0.282558
bolsonaro dino,6.000000,0.000236,0.001972,-0.745593
bolsonaro pf,22.000000,0.000866,0.006106,0.523385
bolsonaro agora,15.000000,0.000590,0.004389,0.319733
bolsonaro odio,8.000000,0.000315,0.002539,-0.215349
bolsonaro escolas,6.000000,0.000236,0.001972,-0.320710
bolsonaro sao,27.000000,0.001063,0.007276,-0.043862
bolsonaro educacao,5.000000,0.000197,0.001679,-1.296822
bolsonaro professores,191.000000,0.007517,0.036763,1.290886
bolsonaro pra,9.000000,0.000354,0.002814,0.145380
bolsonaro sera,10.000000,0.000394,0.003086,0.047800
bolsonaro tribunal,7.000000,0.000275,0.002258,-0.093356
bolsonaro contra,29.000000,0.001141,0.007733,-0.116653
bolsonaro familia,6.000000,0.000236,0.001972,-0.168518
bolsonaro ser,27.000000,0.001063,0.007276,0.214373
bolsonaro acao,6.000000,0.000236,0.001972,-0.052446
bolsonaro camara,3.000000,0.000118,0.001068,-1.498459
bolsonaro policia,7.000000,0.000275,0.002258,-0.348881
bolsonaro parlamentar,3.000000,0.000118,0.001068,-1.415393
bolsonaro lula,26.000000,0.001023,0.007045,-0.085045
bolsonaro pais,6.000000,0.000236,0.001972,-0.730089
bolsonaro hoje,12.000000,0.000472,0.003617,0.396248
bolsonaro todos,15.000000,0.000590,0.004389,-0.036942
bolsonaro so,12.000000,0.000472,0.003617,0.282489
bolsonaro neste,5.000000,0.000197,0.001679,-0.813970
bolsonaro decisao,10.000000,0.000394,0.003086,-0.001962
bolsonaro pl,141.000000,0.005549,0.028823,1.912966
bolsonaro presidente,16.000000,0.000630,0.004641,-0.128338
bolsonaro gilmar,21.000000,0.000826,0.005867,0.364069
bolsonaro mendes,9.000000,0.000354,0.002814,-0.392574
bolsonaro investigacao,7.000000,0.000275,0.002258,-0.494593
bolsonaro vai,19.000000,0.000748,0.005383,-0.013646
bolsonaro partido,5.000000,0.000197,0.001679,-0.635091
bolsonaro discurso,22.000000,0.000866,0.006106,0.451411
bolsonaro vamos,8.000000,0.000315,0.002539,0.235236
bolsonaro dia,3.000000,0.000118,0.001068,-0.927915
bolsonaro afirmou,23.000000,0.000905,0.006343,0.901328
bolsonaro caso,13.000000,0.000512,0.003877,0.176632
bolsonaro domingo,3.000000,0.000118,0.001068,-1.601644
bolsonaro assim,6.000000,0.000236,0.001972,0.170698
bolsonaro voce,6.000000,0.000236,0.001972,-0.247506
bolsonaro deve,11.000000,0.000433,0.003353,0.702726
bolsonaro ter,15.000000,0.000590,0.004389,0.310844
bolsonaro evento,14.000000,0.000551,0.004134,-0.054641
bolsonaro pgr,11.000000,0.000433,0.003353,-0.025513
bolsonaro republica,3.000000,0.000118,0.001068,-1.186326
bolsonaro doutrinadores,24.000000,0.000945,0.006579,0.854275
bolsonaro armamentista,4.000000,0.000157,0.001378,-0.361061
